instance,casual,registered,count,season,year,month,holiday,weekday,workingday,weathertype,tempdenorm,acttempdenorm,humiditydenorm,windspeeddenorm
1,331,654,985,Spring,Year 2011,Jan,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,14.110847,18.18125,80.5833,10.749882
2,131,670,801,Spring,Year 2011,Jan,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,14.902598,17.68695,69.6087,16.652113
3,120,1229,1349,Spring,Year 2011,Jan,Not A Holiday,Mon,Working Day,Clear:Good,8.050924,9.47025,43.7273,16.636703
4,108,1454,1562,Spring,Year 2011,Jan,Not A Holiday,Tues,Working Day,Clear:Good,8.2,10.6061,59.0435,10.739832
5,82,1518,1600,Spring,Year 2011,Jan,Not A Holiday,Wed,Working Day,Clear:Good,9.305237,11.4635,43.6957,12.5223
6,88,1518,1606,Spring,Year 2011,Jan,Not A Holiday,Thr,Working Day,Clear:Good,8.378268,11.66045,51.8261,6.0008684
7,148,1362,1510,Spring,Year 2011,Jan,Not A Holiday,Fri,Working Day,Cloudy:Adequet,8.057402,10.44195,49.8696,11.304642
8,68,891,959,Spring,Year 2011,Jan,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,6.765,8.1127,53.5833,17.875868
9,54,768,822,Spring,Year 2011,Jan,Not A Holiday,Sun,Not A Working Day,Clear:Good,5.671653,5.80875,43.4167,24.25065
10,41,1280,1321,Spring,Year 2011,Jan,Not A Holiday,Mon,Working Day,Clear:Good,6.184153,7.5444,48.2917,14.958889
11,43,1220,1263,Spring,Year 2011,Jan,Not A Holiday,Tues,Working Day,Cloudy:Adequet,6.932731,9.5732,68.6364,8.182844
12,25,1137,1162,Spring,Year 2011,Jan,Not A Holiday,Wed,Working Day,Clear:Good,7.081807,8.02365,59.9545,20.410009
13,38,1368,1406,Spring,Year 2011,Jan,Not A Holiday,Thr,Working Day,Clear:Good,6.765,7.54415,47.0417,20.167
14,54,1367,1421,Spring,Year 2011,Jan,Not A Holiday,Fri,Working Day,Clear:Good,6.59567,9.42065,53.7826,8.478716
15,222,1026,1248,Spring,Year 2011,Jan,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,9.566653,12.4056,49.875,10.583521
16,251,953,1204,Spring,Year 2011,Jan,Not A Holiday,Sun,Not A Working Day,Clear:Good,9.498347,11.71085,48.375,12.625011
17,117,883,1000,Spring,Year 2011,Jan,Holiday,Mon,Not A Working Day,Cloudy:Adequet,7.209153,8.83855,53.75,12.999139
18,9,674,683,Spring,Year 2011,Jan,Not A Holiday,Tues,Working Day,Cloudy:Adequet,8.883347,11.61665,86.1667,9.833925
19,78,1572,1650,Spring,Year 2011,Jan,Not A Holiday,Wed,Working Day,Cloudy:Adequet,11.979134,14.9211,74.1739,13.957239
20,83,1844,1927,Spring,Year 2011,Jan,Not A Holiday,Thr,Working Day,Cloudy:Adequet,10.728347,12.7525,53.8333,13.125568
21,75,1468,1543,Spring,Year 2011,Jan,Not A Holiday,Fri,Working Day,Clear:Good,7.2775,7.89165,45.7083,23.667214
22,93,888,981,Spring,Year 2011,Jan,Not A Holiday,Sat,Not A Working Day,Clear:Good,2.4243464,3.95348,40,11.52199
23,150,836,986,Spring,Year 2011,Jan,Not A Holiday,Sun,Not A Working Day,Clear:Good,3.9573897,4.941955,43.6522,16.5222
24,86,1330,1416,Spring,Year 2011,Jan,Not A Holiday,Mon,Working Day,Clear:Good,3.9930433,5.8965,49.1739,10.60811
25,186,1799,1985,Spring,Year 2011,Jan,Not A Holiday,Tues,Working Day,Cloudy:Adequet,9.162598,11.7263,61.6957,8.696332
26,34,472,506,Spring,Year 2011,Jan,Not A Holiday,Wed,Working Day,LightRain:Bad,8.9175,10.18,86.25,19.68795
27,15,416,431,Spring,Year 2011,Jan,Not A Holiday,Thr,Working Day,Clear:Good,7.995,10.985,68.75,7.627079
28,38,1129,1167,Spring,Year 2011,Jan,Not A Holiday,Fri,Working Day,Cloudy:Adequet,8.342598,11.16585,79.3043,8.2611
29,123,975,1098,Spring,Year 2011,Jan,Not A Holiday,Sat,Not A Working Day,Clear:Good,8.057402,10.6063,65.1739,9.739455
30,140,956,1096,Spring,Year 2011,Jan,Not A Holiday,Sun,Not A Working Day,Clear:Good,8.877402,12.5161,72.2174,4.9568342
31,42,1459,1501,Spring,Year 2011,Jan,Not A Holiday,Mon,Working Day,Cloudy:Adequet,7.414153,9.3125,60.375,12.541864
32,47,1313,1360,Spring,Year 2011,Feb,Not A Holiday,Tues,Working Day,Cloudy:Adequet,7.879134,11.7265,82.9565,3.565271
33,72,1454,1526,Spring,Year 2011,Feb,Not A Holiday,Wed,Working Day,Cloudy:Adequet,10.66,12.72085,77.5417,17.708636
34,61,1489,1550,Spring,Year 2011,Feb,Not A Holiday,Thr,Working Day,Clear:Good,7.665237,8.8939,43.7826,18.609384
35,88,1620,1708,Spring,Year 2011,Feb,Not A Holiday,Fri,Working Day,Cloudy:Adequet,8.663464,11.42935,58.5217,8.565213
36,100,905,1005,Spring,Year 2011,Feb,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,9.566653,12.1529,92.9167,10.792293
37,354,1269,1623,Spring,Year 2011,Feb,Not A Holiday,Sun,Not A Working Day,Clear:Good,11.719153,14.58355,56.8333,9.5006
38,120,1592,1712,Spring,Year 2011,Feb,Not A Holiday,Mon,Working Day,Clear:Good,11.138347,15.1829,73.8333,3.0423561
39,64,1466,1530,Spring,Year 2011,Feb,Not A Holiday,Tues,Working Day,Clear:Good,9.054153,9.9123,53.7917,24.25065
40,53,1552,1605,Spring,Year 2011,Feb,Not A Holiday,Wed,Working Day,Cloudy:Adequet,5.526103,7.21415,49.4783,12.652213
41,47,1491,1538,Spring,Year 2011,Feb,Not A Holiday,Thr,Working Day,Clear:Good,5.918268,7.4774,43.7391,14.869645
42,149,1597,1746,Spring,Year 2011,Feb,Not A Holiday,Fri,Working Day,Clear:Good,7.752731,10.67545,50.6364,7.27285
43,288,1184,1472,Spring,Year 2011,Feb,Not A Holiday,Sat,Not A Working Day,Clear:Good,9.1225,11.6477,54.4167,13.625589
44,397,1192,1589,Spring,Year 2011,Feb,Not A Holiday,Sun,Not A Working Day,Clear:Good,12.977402,16.20565,45.7391,17.479161
45,208,1705,1913,Spring,Year 2011,Feb,Not A Holiday,Mon,Working Day,Clear:Good,17.015,19.9175,37.5833,27.999836
46,140,1675,1815,Spring,Year 2011,Feb,Not A Holiday,Tues,Working Day,Clear:Good,10.909567,12.7137,31.4348,19.522058
47,218,1897,2115,Spring,Year 2011,Feb,Not A Holiday,Wed,Working Day,Clear:Good,13.048701,15.81,42.3478,16.869997
48,259,2216,2475,Spring,Year 2011,Feb,Not A Holiday,Thr,Working Day,Clear:Good,17.869153,21.4329,50.5,15.416968
49,579,2348,2927,Spring,Year 2011,Feb,Not A Holiday,Fri,Working Day,Clear:Good,21.388347,25.59915,51.6667,17.749975
50,532,1103,1635,Spring,Year 2011,Feb,Not A Holiday,Sat,Not A Working Day,Clear:Good,16.365847,19.5702,18.7917,34.000021
51,639,1173,1812,Spring,Year 2011,Feb,Not A Holiday,Sun,Not A Working Day,Clear:Good,11.693897,13.8665,40.7826,14.956745
52,195,912,1107,Spring,Year 2011,Feb,Holiday,Mon,Not A Working Day,Cloudy:Adequet,12.436653,14.20375,60.5,20.625682
53,74,1376,1450,Spring,Year 2011,Feb,Not A Holiday,Tues,Working Day,Clear:Good,7.471102,9.30165,57.7778,13.110761
54,139,1778,1917,Spring,Year 2011,Feb,Not A Holiday,Wed,Working Day,Clear:Good,9.091299,12.28585,42.3043,6.305571
55,100,1707,1807,Spring,Year 2011,Feb,Not A Holiday,Thr,Working Day,Cloudy:Adequet,12.121732,14.45955,69.7391,16.783232
56,120,1341,1461,Spring,Year 2011,Feb,Not A Holiday,Fri,Working Day,Cloudy:Adequet,14.938268,17.52305,71.2174,23.218113
57,424,1545,1969,Spring,Year 2011,Feb,Not A Holiday,Sat,Not A Working Day,Clear:Good,11.5825,14.1096,53.7917,12.500257
58,694,1708,2402,Spring,Year 2011,Feb,Not A Holiday,Sun,Not A Working Day,Clear:Good,14.082598,17.55545,68,8.391616
59,81,1365,1446,Spring,Year 2011,Feb,Not A Holiday,Mon,Working Day,Cloudy:Adequet,16.698193,20.0059,87.6364,19.408962
60,137,1714,1851,Spring,Year 2011,Mar,Not A Holiday,Tues,Working Day,Clear:Good,10.933347,13.19395,53.5,14.500475
61,231,1903,2134,Spring,Year 2011,Mar,Not A Holiday,Wed,Working Day,Clear:Good,13.735,16.00355,44.9583,20.624811
62,123,1562,1685,Spring,Year 2011,Mar,Not A Holiday,Thr,Working Day,Clear:Good,8.131653,10.00665,31.8333,15.125518
63,214,1730,1944,Spring,Year 2011,Mar,Not A Holiday,Fri,Working Day,Cloudy:Adequet,10.728347,12.78395,61.0417,13.624182
64,640,1437,2077,Spring,Year 2011,Mar,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,15.750847,18.93895,78.9167,16.875357
65,114,491,605,Spring,Year 2011,Mar,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,15.437402,18.3126,94.8261,23.000229
66,244,1628,1872,Spring,Year 2011,Mar,Not A Holiday,Mon,Working Day,Clear:Good,10.731299,11.92305,55.1304,22.870584
67,316,1817,2133,Spring,Year 2011,Mar,Not A Holiday,Tues,Working Day,Clear:Good,11.9925,15.12,42.0833,8.08355
68,191,1700,1891,Spring,Year 2011,Mar,Not A Holiday,Wed,Working Day,Cloudy:Adequet,12.129153,14.3304,77.5417,14.75005
69,46,577,623,Spring,Year 2011,Mar,Not A Holiday,Thr,Working Day,LightRain:Bad,15.952731,19.2834,0,17.545759
70,247,1730,1977,Spring,Year 2011,Mar,Not A Holiday,Fri,Working Day,Cloudy:Adequet,12.977402,15.25,64.9565,15.60899
71,724,1408,2132,Spring,Year 2011,Mar,Not A Holiday,Sat,Not A Working Day,Clear:Good,13.495847,16.2875,59.4583,14.791925
72,982,1435,2417,Spring,Year 2011,Mar,Not A Holiday,Sun,Not A Working Day,Clear:Good,15.758268,19.00455,52.7391,18.130468
73,359,1687,2046,Spring,Year 2011,Mar,Not A Holiday,Mon,Working Day,Clear:Good,13.333897,16.6,49.6957,9.174042
74,289,1767,2056,Spring,Year 2011,Mar,Not A Holiday,Tues,Working Day,Cloudy:Adequet,13.013031,15.9089,65.5652,12.348703
75,321,1871,2192,Spring,Year 2011,Mar,Not A Holiday,Wed,Working Day,Cloudy:Adequet,14.973897,18.3465,77.6522,13.608839
76,424,2320,2744,Spring,Year 2011,Mar,Not A Holiday,Thr,Working Day,Clear:Good,17.015,20.51665,60.2917,14.041793
77,884,2355,3239,Spring,Year 2011,Mar,Not A Holiday,Fri,Working Day,Clear:Good,22.14,26.35045,52.5217,15.478139
78,1424,1693,3117,Spring,Year 2011,Mar,Not A Holiday,Sat,Not A Working Day,Clear:Good,19.3725,23.32625,37.9167,24.667189
79,1047,1424,2471,Spring,Year 2011,Mar,Not A Holiday,Sun,Not A Working Day,Clear:Good,13.6325,16.2875,47.375,13.917307
80,401,1676,2077,Summer,Year 2011,Mar,Not A Holiday,Mon,Working Day,Cloudy:Adequet,17.647835,20.48675,73.7391,19.348461
81,460,2243,2703,Summer,Year 2011,Mar,Not A Holiday,Tues,Working Day,Clear:Good,18.108347,22.0321,62.4583,15.12525
82,203,1918,2121,Summer,Year 2011,Mar,Not A Holiday,Wed,Working Day,Cloudy:Adequet,14.225237,16.89695,83.9565,15.695487
83,166,1699,1865,Summer,Year 2011,Mar,Not A Holiday,Thr,Working Day,Cloudy:Adequet,11.685,13.54165,80.5833,16.333729
84,300,1910,2210,Summer,Year 2011,Mar,Not A Holiday,Fri,Working Day,Clear:Good,10.830847,12.8156,49.5,15.458575
85,981,1515,2496,Summer,Year 2011,Mar,Not A Holiday,Sat,Not A Working Day,Clear:Good,10.899153,12.87855,39.4167,14.041257
86,472,1221,1693,Summer,Year 2011,Mar,Not A Holiday,Sun,Not A Working Day,Cloudy:Adequet,10.374763,12.51695,49.3913,12.3481
87,222,1806,2028,Summer,Year 2011,Mar,Not A Holiday,Mon,Working Day,Clear:Good,10.838268,12.8787,30.2174,14.217668
88,317,2108,2425,Summer,Year 2011,Mar,Not A Holiday,Tues,Working Day,Clear:Good,12.4025,14.6454,31.4167,15.208732
89,168,1368,1536,Summer,Year 2011,Mar,Not A Holiday,Wed,Working Day,Cloudy:Adequet,12.3,14.8675,64.6667,11.583496
90,179,1506,1685,Summer,Year 2011,Mar,Not A Holiday,Thr,Working Day,LightRain:Bad,11.001653,12.87875,91.8333,14.582282
91,307,1920,2227,Summer,Year 2011,Apr,Not A Holiday,Fri,Working Day,Cloudy:Adequet,12.3,14.1727,68.625,17.333436
92,898,1354,2252,Summer,Year 2011,Apr,Not A Holiday,Sat,Not A Working Day,Cloudy:Adequet,12.915,15.78185,65.375,13.208782
93,1651,1598,3249,Summer,Year 2011,Apr,Not A Holiday,Sun,Not A Working Day,Clear:Good,15.511653,18.93835,48,12.208271
94,734,2381,3115,Summer,Year 2011,Apr,Not A Holiday,Mon,Working Day,Clear:Good,23.506653,27.14645,42.625,25.833257
95,167,1628,1795,Summer,Year 2011,Apr,Not A Holiday,Tues,Working Day,Cloudy:Adequet,16.980847,19.9175,64.2083,26.000489
96,413,2395,2808,Summer,Year 2011,Apr,Not A Holiday,Wed,Working Day,Clear:Good,16.024153,19.3804,47.0833,17.625221
